Rank,Journal name,Article Count,JCR Abbreviation,ISSN,eISSN,Category,Edition,Normalized Eigenfactor
1,MULTIMEDIA TOOLS AND APPLICATIONS,17787,MULTIMED TOOLS APPL,1380-7501,1573-7721,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,7.430
2,ACM TRANSACTIONS ON GRAPHICS,4361,ACM T GRAPHIC,0730-0301,1557-7368,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,6.019
3,IEEE TRANSACTIONS ON MULTIMEDIA,4838,IEEE T MULTIMEDIA,1520-9210,1941-0077,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,5.484
4,COMMUNICATIONS OF THE ACM,2623,COMMUN ACM,0001-0782,1557-7317,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,3.950
5,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,4952,IEEE T VIS COMPUT GR,1077-2626,1941-0506,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,3.411
6,MATHEMATICAL PROGRAMMING,2429,MATH PROGRAM,0025-5610,1436-4646,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,3.261
7,COMPUTER GRAPHICS FORUM,4444,COMPUT GRAPH FORUM,0167-7055,1467-8659,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,2.804
8,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,2992,J NETW COMPUT APPL,1084-8045,1095-8592,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,2.335
9,IEEE Transactions on Dependable and Secure Computing,1886,IEEE T DEPEND SECURE,1545-5971,1941-0018,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,2.208
10,MATHEMATICS AND COMPUTERS IN SIMULATION,4230,MATH COMPUT SIMULAT,0378-4754,1872-7166,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.851
11,IEEE Transactions on Services Computing,1503,IEEE T SERV COMPUT,1939-1374,1939-1374,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.489
12,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,5876,CONCURR COMP-PRACT E,1532-0626,1532-0634,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.422
13,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,1934,IEEE T SOFTWARE ENG,0098-5589,1939-3520,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.401
14,JOURNAL OF SYSTEMS AND SOFTWARE,3898,J SYST SOFTWARE,0164-1212,1873-1228,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.308
15,SoftwareX,1291,SOFTWAREX,2352-7110,2352-7110,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.293
16,ACM Transactions on Multimedia Computing Communications and Applications,1524,ACM T MULTIM COMPUT,1551-6857,1551-6865,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.262
17,IEEE TRANSACTIONS ON RELIABILITY,2096,IEEE T RELIAB,0018-9529,1558-1721,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.223
18,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,3125,J VIS COMMUN IMAGE R,1047-3203,1095-9076,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.137
19,INFORMATION AND SOFTWARE TECHNOLOGY,2492,INFORM SOFTWARE TECH,0950-5849,1873-6025,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.134
20,VISUAL COMPUTER,3561,VISUAL COMPUT,0178-2789,1432-2315,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.101
21,Computer Science Review,309,COMPUT SCI REV,1574-0137,1876-7745,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.088
22,EMPIRICAL SOFTWARE ENGINEERING,1434,EMPIR SOFTW ENG,1382-3256,1573-7616,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.050
23,IMAGE AND VISION COMPUTING,2586,IMAGE VISION COMPUT,0262-8856,1872-8138,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,1.011
24,Proceedings of the ACM on Programming Languages-PACMPL,1229,P ACM PROGRAM LANG,N/A,2475-1421,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ESCI,0.987
25,ADVANCES IN ENGINEERING SOFTWARE,2376,ADV ENG SOFTW,0965-9978,1873-5339,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,0.927
26,JOURNAL OF SYSTEMS ARCHITECTURE,1920,J SYST ARCHITECT,1383-7621,1873-6165,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,0.913
27,ACM Transactions on Knowledge Discovery from Data,1016,ACM T KNOWL DISCOV D,1556-4681,1556-472X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,0.909
28,ALGORITHMICA,2406,ALGORITHMICA,0178-4617,1432-0541,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,0.891
